Episode,Player,Award,Points,Character,Cheat,Multiplier
4,Mart,Wit,32,Davos Seaworth,False,
4,Mart,Wit,16,Stannis Baratheon,False,
4,Mart,Wit,8,Roose Bolton,False,
4,Mart,Jockey,32,Jon Snow,False,
4,Mart,Jockey,16,Stannis Baratheon,False,
4,Mart,Jockey,8,Myranda,False,
4,Mart,Bloodshed,32,Daenerys Targaryen,False,
4,Mart,Bloodshed,16,Jorah Mormont,False,
4,Mart,Bloodshed,8,,False,
4,Mart,Style,32,Jorah Mormont,False,
4,Mart,Style,16,Theon Greyjoy,False,
4,Mart,Style,8,Stannis Baratheon,False,
4,Mart,Support,32,Davos Seaworth,False,
4,Mart,Support,16,Theon Greyjoy,False,
4,Mart,Support,8,Myranda,False,
4,Sherin the Sedulous,Wit,32,Davos Seaworth,False,
4,Sherin the Sedulous,Wit,16,Stannis Baratheon,False,
4,Sherin the Sedulous,Wit,8,Shireen Baratheon,False,
4,Sherin the Sedulous,Jockey,32,Jon Snow,False,
4,Sherin the Sedulous,Jockey,16,Myranda,False,
4,Sherin the Sedulous,Jockey,8,Tormund Giantsbane,False,
4,Sherin the Sedulous,Bloodshed,32,Ramsay Bolton,False,
4,Sherin the Sedulous,Bloodshed,16,Daenerys Targaryen,False,
4,Sherin the Sedulous,Bloodshed,8,,False,
4,Sherin the Sedulous,Style,32,Missandei,False,
4,Sherin the Sedulous,Style,16,Daenerys Targaryen,False,
4,Sherin the Sedulous,Style,8,,False,
4,Sherin the Sedulous,Support,32,Brienne of Tarth,False,
4,Sherin the Sedulous,Support,16,Jorah Mormont,False,
4,Sherin the Sedulous,Support,8,,False,
4,Josh Du,Wit,32,Stannis Baratheon,False,
4,Josh Du,Wit,16,Samwell Tarly,False,
4,Josh Du,Wit,8,,False,
4,Josh Du,Jockey,32,Daenerys Targaryen,False,
4,Josh Du,Jockey,16,Jon Snow,False,
4,Josh Du,Jockey,8,,False,
4,Josh Du,Bloodshed,32,Daenerys Targaryen,False,
4,Josh Du,Bloodshed,16,Jorah Mormont,False,
4,Josh Du,Bloodshed,8,,False,
4,Josh Du,Style,32,Sansa Stark,False,
4,Josh Du,Style,16,Theon Greyjoy,True,0.25
4,Josh Du,Style,8,,False,
4,Josh Du,Support,32,Missandei,False,
4,Josh Du,Support,16,Daario Naharis,False,
4,Josh Du,Support,8,Grey Worm,False,
4,Kirsty,Wit,32,Tormund Giantsbane,False,
4,Kirsty,Wit,16,Hizdahr zo Loraq,False,
4,Kirsty,Wit,8,,False,
4,Kirsty,Jockey,32,Jon Snow,False,
4,Kirsty,Jockey,16,Daenerys Targaryen,False,
4,Kirsty,Jockey,8,,False,
4,Kirsty,Bloodshed,32,Daenerys Targaryen,False,
4,Kirsty,Bloodshed,16,Jorah Mormont,False,
4,Kirsty,Bloodshed,8,,False,
4,Kirsty,Style,32,Daenerys Targaryen,False,
4,Kirsty,Style,16,Brienne of Tarth,False,
4,Kirsty,Style,8,Sansa Stark,False,
4,Kirsty,Support,32,Brienne of Tarth,False,
4,Kirsty,Support,16,Samwell Tarly,False,
4,Kirsty,Support,8,Missandei,False,
